scenario_id,source,target,source_name,target_name,dijkstra_distance,dijkstra_travel_time,dijkstra_computation_time,astar_distance,astar_travel_time,astar_computation_time,dijkstra_path,astar_path,same_path
0,616030050,333627756,node_616030050,node_333627756,18592.53856713436,21.218654970299088,0.0573275089263916,19104.842081783074,30.822088020434265,0.008861064910888672,"[616030050, 616030044, 728152781, 11251344941, 11251344944, 616030056, 3438474749, 11159330592, 11159330595, 29822888, 616471091, 430383401, 3458502559, 3461409769, 347296160, 3461409782, 3461412498, 3461414019, 3458502556, 3458502562, 3458502557, 3438390291, 3438390292, 3989320565, 11159330545, 728153876, 11159330539, 27699316, 3461420036, 3461420030, 3461420033, 3461418095, 11365516859, 11365516856, 11365516857, 497447191, 3438931410, 1543795004, 11206245922, 3453211894, 735992199, 11102738094, 29891797, 11146784185, 427777611, 571700478, 11146790525, 426518882, 3472504200, 571700309, 28979469, 534942458, 534942462, 534942616, 250765174, 250765172, 427259268, 250765175, 534942624, 338819949, 250765184, 11084701220, 250765185, 251638246, 250765191, 616471233, 616471230, 616471228, 11136507586, 11342427928, 11342427925, 430349455, 570541790, 570541731, 570541730, 427817352, 570541773, 570541757, 570541778, 628472688, 251241886, 251241877, 251241875, 11172155770, 251241929, 251241926, 561195992, 561196352, 561196355, 561194097, 11225539966, 11225539963, 11225539964, 629459887, 629459904, 431379472, 343341496, 251658991, 251658992, 343342116, 431375133, 11198896782, 11198896784, 11198896781, 251659457, 343339871, 343348247, 343342226, 431379544, 343348186, 431379542, 431379543, 431372967, 347325325, 427250368, 347325385, 347325387, 630971697, 654611432, 654611439, 332810553, 654599451, 654599452, 332821450, 332810829, 332817484, 256957029, 11084198861, 256956769, 332844945, 256956558, 332850278, 431380016, 431380017, 332854089, 10971430986, 5474670522, 333630297, 333630298, 333629115, 333629117, 9211094345, 333627756]","[616030050, 616030044, 728152781, 11251344941, 30530790, 30530792, 30530794, 29936722, 29936720, 30530824, 52922499, 5964788539, 52922510, 11251311220, 3474558297, 3474558296, 3474558295, 347296486, 726826031, 3474558294, 3474558192, 3474558190, 3474558187, 3474558185, 3474558184, 8192965718, 8192965717, 8192965715, 8192965716, 3474558153, 3474558152, 254351034, 3474558119, 3442531609, 337952280, 337951721, 59203276, 59203275, 59203274, 337947330, 478223998, 11296186526, 11296186523, 11296186524, 4678083710, 4678083705, 11365550674, 11365550671, 11365550672, 11365550673, 4006426858, 8192844417, 8192844415, 4006426854, 4951346268, 4951346267, 247688331, 247688332, 338835969, 338836121, 428975875, 428975874, 766773277, 428975877, 534942606, 11102806906, 11218731650, 11146784166, 250765180, 28979469, 534942458, 534942462, 534942616, 250765174, 250765172, 427259268, 427265115, 8191733739, 8191733742, 8191733741, 12177445854, 12177445851, 616471255, 11136507552, 11256190151, 11256190148, 430349498, 570563583, 11256190168, 11256190169, 291467042, 251657913, 584179758, 11177590841, 11177590842, 11177590843, 11177590844, 11177255223, 11177255227, 657208688, 10966095286, 11225733804, 11225733801, 251640904, 2959343018, 29699070, 251640766, 598412787, 251640790, 251241853, 251241863, 657233835, 251660038, 12033758996, 561196239, 10909267164, 343312757, 1371725695, 343312758, 1371725684, 343312921, 3127306931, 654599459, 343346867, 654647911, 356202572, 343347242, 251659637, 431379755, 127318421, 127317509, 343345105, 343344894, 343344789, 332513937, 332514003, 332514019, 332514020, 343347600, 251642690, 326359241, 431016691, 320018520, 320018519, 430410033, 430410017, 332513497, 10958047631, 431381927, 431370613, 431379597, 431381843, 322949511, 5130067321, 9089517009, 320018461, 431380946, 431380947, 325847260, 325846795, 325846679, 431380716, 256956558, 332850278, 431380016, 431380017, 332854089, 10971430986, 10971430985, 333629110, 333626645, 333628510, 333628768, 333628769, 9211094345, 333627756]",False
1,3927897739,288984984,node_3927897739,node_288984984,6741.534183394701,11.324455745882318,0.025624513626098633,5829.576189935468,38.80213674670404,0.005090951919555664,"[3927897739, 248716750, 250765224, 628472436, 570541728, 570541727, 628472453, 616471259, 570541731, 570541790, 570541788, 570541796, 570541809, 291467036, 291467034, 255687797, 5022107631, 5022107633, 570541923, 570563583, 11256190168, 11256190169, 291467042, 584179748, 570563611, 291467044, 427259206, 8191894735, 8191894733, 291467053, 11367382311, 51066402, 29891786, 26240682, 3950951582, 11189060690, 11117413229, 3955884343, 598789990, 472919566, 11125636984, 268528011, 603388901, 11186213200, 11186213202, 11110363571, 11110363576, 11253507642, 496000864, 278079909, 10945131971, 553312569, 245808394, 288982292, 288984984]","[3927897739, 248716750, 250765224, 628472436, 570541728, 570541727, 628472453, 570541730, 570541731, 570541790, 570541788, 570541796, 570541809, 291467036, 291467034, 255687797, 5022107631, 5022107633, 570541923, 570563583, 11256190168, 11256190169, 291467042, 584179748, 570563611, 291467044, 427259206, 8191894396, 8191894399, 8191894393, 8191894415, 8191894374, 8191894385, 8191882087, 8191882103, 8191882085, 8191882108, 11168538750, 45132739, 570542033, 8666434397, 29891783, 27699343, 570542076, 29891834, 616471334, 11100112459, 11100112467, 7201381149, 11369908026, 6252645493, 11100338290, 3250176019, 5021433300, 339056343, 339056341, 11014386660, 38876634, 11071980676, 4701473599, 4701473597, 4701487006, 10943150564, 4701506290, 4701506294, 598412836, 245808394, 288982292, 288984984]",False
2,333783427,338364658,node_333783427,node_338364658,13586.71382735644,0.0,0.04655265808105469,13272.730118971627,34.61112642705769,0.004962444305419922,"[333783427, 431379677, 426487873, 431381187, 431379825, 11160905453, 3823826780, 251633694, 431381825, 11205977628, 431381405, 347294596, 8191685439, 8191685442, 8191685440, 8191685441, 11072057997, 654647955, 431381413, 347295930, 570292645, 570292643, 430316751, 570353020, 570352953, 570352981, 570352961, 570352721, 570352736, 11225733821, 11225733822, 11225733823, 29699056, 570352712, 11103190264, 26270972, 29207964, 10966095302, 10966144231, 11168538750, 45132739, 45136236, 29891787, 50758881, 29891786, 26240682, 3950951582, 51066486, 11154565314, 570563644, 11154565319, 11146767968, 11146767964, 11146767958, 251635055, 427259457, 25251502, 25251508, 11146767954, 28979469, 250765180, 3472504200, 571700172, 11102738104, 1908456303, 11210832576, 534942922, 3472504194, 766773277, 428975874, 428975868, 4006426854, 11365550672, 11365550673, 11365550674, 4678083705, 4678083710, 11144417790, 251457239, 11144417794, 3475689441, 346162793, 338340308, 251457236, 338339309, 251457235, 251457230, 251457227, 338338462, 244085819, 11099809616, 11099809615, 320732259, 320732260, 320736643, 338368054, 338368051, 338358389, 338358606, 338364167, 338364170, 338361791, 338361789, 338364658]","[333783427, 334078149, 333783424, 426487873, 431381187, 431379825, 11160905453, 3823826780, 251633694, 431381825, 11205977628, 431381405, 286527275, 255688601, 598412804, 8191657698, 8191657699, 8191657697, 8191657700, 654647953, 654647955, 431381413, 347295930, 570292645, 11225903624, 11225903625, 11225903626, 332514123, 11225755262, 11225755263, 11225755264, 570352931, 570352929, 570352961, 570352721, 570352736, 11054104829, 570352693, 654599441, 10965860862, 29207955, 29699052, 11225733802, 11225733803, 10965860865, 28979468, 657208688, 11177255227, 11177255223, 11177255218, 291467044, 427259206, 8191894735, 8191894733, 8191894734, 427259369, 11256190202, 11136507556, 584179746, 12177445852, 12177445853, 11146767968, 11146767964, 11146767958, 427259268, 250765175, 250765183, 4678587326, 571700330, 25251500, 616471221, 28979435, 7189077013, 3317183454, 7189077011, 3478231657, 4063322289, 251652533, 338836374, 338836369, 249634297, 247688427, 338836394, 3503895456, 11074004066, 3478231642, 3478231643, 3475689433, 251457235, 251457230, 251457227, 338338462, 338338463, 338337451, 338337925, 529790160, 244085815, 11099809614, 430313151, 338358607, 8192965603, 8192965604, 8192965602, 338368065, 338368075, 338368042, 11223452346, 11223452347, 11223452344, 338364167, 338364170, 338361791, 338361789, 338364658]",False
3,616030050,11144539103,node_616030050,node_11144539103,18241.980008893526,31.141679168487762,0.05868816375732422,19714.300332997,77.8215383589268,0.007939815521240234,"[616030050, 616030044, 728152781, 11251344941, 30530790, 30530792, 30530794, 29936722, 29936720, 30530824, 52922499, 5964788539, 52922510, 11251311220, 3474558297, 3474558296, 3474558295, 347296486, 726826031, 428975830, 3438466927, 3474558163, 3474558160, 3474558158, 3474558157, 8192965717, 8192965715, 8192965716, 3474558153, 3474558122, 3474558121, 3474558119, 3442531609, 337952280, 337951721, 59203276, 59203275, 59203274, 337947330, 478223998, 3474557934, 346162793, 338340308, 251457236, 338339309, 251457235, 3475689433, 3478231643, 11074004068, 11074004067, 11074004065, 338836395, 12177401658, 12177401641, 12177401642, 12177401639, 250884871, 338836519, 338486082, 338836520, 247688457, 247688549, 3478227261, 247688550, 247688529, 12644651973, 12644651972, 247688532, 247688534, 247688538, 7847014982, 251653276, 338741184, 428959955, 244085859, 428959956, 11275948091, 8313615384, 628023092, 628023113, 628023105, 245671978, 628023183, 245671944, 245671837, 347412735, 347412984, 338766626, 347413060, 347413058, 11206871000, 11218745721, 11218745722, 11218745719, 347412856, 347412969, 347412844, 11218745701, 11218745702, 11218745699, 11218745700, 347412970, 11218745682, 11218745679, 347413142, 347413143, 347413144, 338772662, 577241926, 577242785, 251654151, 577242786, 2983914532, 338771848, 338770090, 577241287, 294356649, 629454935, 577240199, 294355034, 294355443, 294356648, 294362589, 294356647, 338267792, 347554628, 629870061, 427270053, 347413538, 11072097681, 11114537649, 11114537662, 11072097686, 250255836, 11072097692, 431372919, 11223641293, 249404587, 249404685, 249404689, 249404712, 249404796, 249404790, 249405264, 249405257, 8623629464, 326137902, 326137744, 338895602, 11144539103]","[616030050, 616030044, 728152781, 11251344941, 30530790, 30530792, 30530794, 29936722, 29936720, 30530824, 52922499, 5964788539, 52922510, 11251311220, 3474558297, 3474558296, 3474558295, 347296486, 726826031, 3474558294, 3474558192, 3474558190, 3474558187, 3474558185, 3474558184, 8192965718, 8192965717, 8192965715, 8192965716, 3474558153, 3474558152, 254351034, 3474558119, 3442531609, 337952280, 337951721, 59203276, 59203275, 59203274, 337947330, 478223998, 11296186526, 11296186523, 11296186524, 4678083710, 4678083705, 11365550674, 11365550671, 11365550672, 11365550673, 4006426858, 8192844417, 8192844415, 4006426854, 4951346268, 4951346267, 247688331, 247688332, 338835969, 338836121, 428975875, 428975874, 766773277, 428975877, 3942575730, 766773345, 766773344, 3094588006, 356801678, 3094588004, 3317183454, 7189077011, 7189077010, 3094553186, 251652949, 257000491, 571700225, 571700200, 616471195, 3094587319, 428959963, 8232235104, 8232235103, 8232235105, 8232235102, 247688574, 5127509926, 5127509925, 8191634983, 8191634980, 247688588, 247688593, 247688597, 247688596, 247688601, 247688600, 244347014, 502842696, 247688619, 7228559921, 436641882, 247688641, 247688658, 244085896, 11175233944, 8037970157, 8037970160, 8037970158, 8037970159, 338772087, 577242381, 577242351, 338810208, 338810281, 577242651, 11140070139, 11140070141, 338773541, 338773568, 11140070135, 11140070131, 11140070128, 629456828, 338773857, 338773282, 629458881, 629459065, 4670548291, 577238433, 629459110, 9254562106, 11140070119, 295232476, 295232414, 295232416, 427270026, 11223161347, 11223161352, 347413648, 11103503120, 4670708959, 347413642, 347413643, 347413644, 11072097671, 338268962, 11270626137, 11270626134, 11270626135, 338268965, 347413414, 338267798, 431380662, 431381005, 249404624, 431381776, 249404620, 643971420, 249405269, 320027998, 320027999, 431380754, 11223641311, 11223641308, 344525613, 344524959, 431380535, 249404585, 249404584, 344526758, 344526669, 344526626, 320027524, 249405245, 344526496, 12176901272, 8623629464, 326137902, 326137744, 338895602, 11144539103]",False
4,3478231533,9448719748,node_3478231533,node_9448719748,8060.127275024292,0.0,0.03409743309020996,8360.03615724212,0.6130222360314821,0.003117084503173828,"[3478231533, 431379487, 629871109, 629871049, 629871047, 570292595, 430316815, 561196339, 561195988, 251241851, 251241861, 251241944, 251241941, 251241811, 251241810, 244085869, 244085871, 338819685, 570541773, 427817352, 570541730, 570541731, 570541790, 570541788, 570541796, 430349467, 11136507583, 616471230, 570563401, 570563441, 8191733695, 8191733697, 8191733696, 428960244, 571700414, 571700267, 3663705100, 3663705101, 25251500, 616471221, 616471224, 255687240, 534942613, 534942458, 28979469, 250765180, 3472504200, 571700172, 11102738104, 1908456303, 3472470594, 426518884, 247688349, 3453187598, 3453187698, 3453211894, 11206245922, 11206245912, 11206245917, 3438338478, 11159330521, 3458499282, 3458502749, 1848111994, 9448719748]","[3478231533, 3478231535, 343312821, 5151672923, 570292607, 430316818, 561196349, 561195991, 629460032, 10942474106, 251241851, 251241861, 251241944, 251241941, 251241811, 251241810, 244085869, 244085871, 251241824, 338819411, 570541857, 570541873, 1805495594, 1805495622, 1805495597, 570541830, 570541796, 430349467, 11136507583, 616471230, 570563401, 570563441, 8191733695, 8191733697, 8191733696, 428960244, 571700414, 571700267, 3663705100, 3663705101, 25251500, 616471221, 616471224, 255687240, 534942613, 534942458, 28979469, 250765180, 11146784166, 571700172, 11102738104, 1908456303, 3472470594, 426518884, 247688349, 3453187598, 247688357, 11206245927, 11223522471, 11223522476, 1543795004, 3438931410, 3461417988, 249634278, 29823354, 11159330521, 3458499282, 3458499284, 3458502750, 9448719749, 9448719748]",False
5,3478231533,616471233,node_3478231533,node_616471233,3989.6141938027727,0.0,0.006185054779052734,3939.5772942505628,0.0,0.0014042854309082031,"[3478231533, 431379487, 629871109, 629871049, 629871047, 570292595, 430316815, 561196339, 561195988, 251241851, 251241861, 251241944, 251241941, 251241811, 251241810, 244085869, 244085871, 338819685, 570541773, 427817352, 570541730, 570541731, 570541790, 570541788, 570541796, 430349467, 11136507583, 616471230, 570563401, 570563441, 616471233]","[3478231533, 3478231535, 343312821, 5151672923, 570292607, 430316818, 561196349, 561195991, 629460032, 10942474106, 251241851, 251241861, 251241944, 251241941, 251241811, 251241810, 244085869, 244085871, 251241824, 338819411, 570541857, 570541873, 1805495594, 1805495622, 1805495597, 570541830, 570541796, 430349467, 11136507583, 616471230, 570563401, 570563441, 616471233]",False
6,616030050,338837927,node_616030050,node_338837927,14116.668590899859,16.23605349327749,0.03334164619445801,14427.856314539098,34.35100230938268,0.0055272579193115234,"[616030050, 616030044, 728152781, 11251344941, 30530790, 30530792, 30530794, 29936722, 531007399, 11251311214, 11251311210, 11251311208, 3474558308, 3474558305, 3474558173, 3474558145, 3474558143, 3474558140, 3474558138, 3474558106, 3474557971, 3474557970, 52919563, 244058967, 243953059, 338378092, 52925029, 52925034, 338376547, 338376549, 11142084909, 338377448, 338376181, 338375793, 338370701, 338370702, 53410410, 53410402, 338369358, 11099809629, 11099809625, 338358607, 338358390, 11099809613, 127452412, 11099809615, 320732259, 320732260, 338697351, 338361376, 338361783, 338364653, 338357973, 6345563950, 338361056, 6345563955, 338357930, 338358907, 338358906, 8191628139, 8191628138, 339132355, 339132356, 339132357, 339132885, 339133364, 339133363, 338350139, 623764856, 339134994, 338349927, 338494589, 8703716250, 339131704, 338349838, 339131457, 347410799, 127431671, 26046333, 338440427, 349365699, 251650613, 349360112, 623764738, 349359313, 349357457, 347292842, 347295593, 347292844, 8686322281, 8686322283, 347292845, 347292846, 347292685, 626059839, 626059782, 338837936, 338837927]","[616030050, 616030044, 728152781, 11251344941, 30530790, 30530792, 30530794, 29936722, 29936720, 30530824, 52922499, 5964788539, 52922510, 11251311220, 3474558297, 3474558296, 3474558295, 347296486, 347296623, 3474558134, 4324805583, 3474558099, 3474557967, 347296677, 428218876, 11142084912, 243953069, 577417895, 577417894, 8708040961, 8192982737, 8192982740, 8192982738, 338377449, 338377451, 338377683, 338376183, 338375795, 338370703, 430313158, 8192965644, 8192965647, 8192965646, 8192965645, 430313161, 338369367, 11099809614, 11099809613, 4677936169, 338368161, 320736641, 320736643, 320732260, 338697351, 338361376, 338361783, 338364653, 338357973, 6345563950, 338361056, 6345563955, 338357930, 338358907, 338358906, 8191628139, 8191628138, 339132355, 339132356, 347409115, 339132392, 338492576, 623764892, 127426771, 127428055, 11139976715, 11139976711, 11139976708, 339132852, 8191811128, 8191811131, 8191811129, 339132575, 339132576, 339132470, 623764814, 1702105307, 347410547, 347410548, 4918109972, 349397630, 349911297, 8192914280, 8192914282, 8192914281, 349911344, 338440429, 349911528, 349911557, 349911529, 623764919, 251649991, 338738844, 338440433, 339140720, 338836565, 338837326, 52938471, 347289525, 347289526, 347292053, 11223369969, 11223369970, 347295377, 347295379, 347295404, 626059912, 626059865, 347295381, 347295384, 347292687, 338450551, 11105737711, 626060020, 626059799, 347302398, 338837930, 626059784, 626059782, 338837936, 338837927]",False
7,616030050,7465110984,node_616030050,node_7465110984,13571.222202736171,8.616540979426972,0.03896927833557129,12515.261090067805,37.362275098852066,0.004505634307861328,"[616030050, 616030044, 728152781, 11251344941, 30530790, 30530792, 30530794, 29936722, 29936720, 30530824, 52922499, 5964788539, 52922510, 11251311220, 3474558297, 3474558296, 3474558295, 347296486, 726826031, 428975830, 3438466927, 3474558163, 3474558160, 3474558158, 3474558157, 8192965717, 8192965715, 8192965716, 3474558153, 3474558122, 3474558121, 3474558119, 3442531609, 337952280, 337951721, 59203276, 59203275, 59203274, 337947330, 478223998, 3474557934, 346162793, 338340308, 251457236, 338339309, 251457235, 3475689433, 3478231643, 11074004068, 11074004067, 11074004065, 338836395, 12177401658, 12177401641, 12177401642, 12177401639, 250884871, 338836519, 338486082, 338836520, 247688457, 247688549, 3478227261, 247688550, 247688529, 12644651973, 12644651972, 247688532, 247688534, 247688538, 7847014982, 251653276, 338741184, 428959955, 244085859, 428959956, 11275948091, 8313615384, 628023092, 628023113, 628023105, 245671978, 628023183, 245671944, 245671837, 347412735, 347412984, 338766626, 347413060, 347413058, 11206871000, 11218745721, 11218745722, 11218745719, 347412856, 347412969, 347412844, 11218745701, 11218745702, 11218745699, 11218745700, 347412970, 11218745682, 11218745679, 347413142, 347413143, 347413144, 338772662, 11149125967, 338770811, 5215765025, 5215765024, 7465164828, 7465164826, 338770083, 2983914527, 577241905, 7465110984]","[616030050, 616030044, 728152781, 11251344941, 30530790, 30530792, 30530794, 29936722, 29936720, 30530824, 52922499, 5964788539, 52922510, 11251311220, 3474558297, 3474558296, 3474558295, 347296486, 726826031, 3474558294, 3474558192, 3474558190, 3474558187, 3474558185, 3474558184, 8192965718, 8192965717, 8192965715, 8192965716, 3474558153, 3474558152, 254351034, 3474558119, 3442531609, 566436685, 4957733817, 337950430, 337950428, 478223995, 478223997, 478223998, 3474557934, 346162793, 338340308, 251457236, 338339309, 3475689435, 11144417801, 616471069, 3478231643, 11074004068, 11074004067, 11074004065, 338836395, 12177401658, 12177401641, 12177401642, 12177401639, 250884871, 338836519, 623765191, 338487849, 338486011, 338740531, 289239487, 250884897, 245672292, 338486805, 245672308, 338460702, 11154350655, 250884959, 250884963, 250884977, 250884973, 250884991, 52939726, 10922338695, 52939716, 52939721, 250884901, 747643187, 52930283, 52939676, 52939705, 347293048, 347293286, 291667135, 430280883, 628022193, 8627480767, 258077634, 11149125998, 11149125997, 338816968, 11149125984, 347412669, 347412975, 347413063, 11149125967, 338770811, 5215765025, 5215765024, 7465164828, 7465164826, 338770083, 7465164785, 7465164787, 7465110984]",False
8,333783427,250765180,node_333783427,node_250765180,7510.927206652681,0.0,0.0234377384185791,10944.437380041134,9.97810647211185,0.005168437957763672,"[333783427, 431379677, 426487873, 431381187, 431379825, 11160905453, 3823826780, 251633694, 431381825, 11205977628, 431381405, 347294596, 8191685439, 8191685442, 8191685440, 8191685441, 11072057997, 654647955, 431381413, 347295930, 570292645, 570292643, 430316751, 570353020, 570352953, 570352981, 570352961, 570352721, 570352736, 11225733821, 11225733822, 11225733823, 29699056, 570352712, 11103190264, 26270972, 29207964, 10966095302, 10966144231, 11168538750, 45132739, 45136236, 29891787, 50758881, 29891786, 26240682, 3950951582, 51066486, 11154565314, 570563644, 11154565319, 11146767968, 11146767964, 11146767958, 251635055, 427259457, 25251502, 25251508, 11146767954, 28979469, 250765180]","[333783427, 334078149, 333783424, 426487873, 431381187, 431379825, 333783608, 7535463719, 333783137, 333783729, 333783730, 426296915, 430038807, 430038810, 333783788, 333771466, 598412878, 598412882, 348072396, 348072624, 598412935, 348072626, 288983730, 288983732, 426466521, 331354791, 288984062, 598412898, 598412897, 1850993089, 598412889, 598412834, 38876639, 288983458, 8040286996, 4701473599, 5143912229, 11014386661, 464833438, 339056322, 2405683119, 11110363571, 11108823341, 11108823344, 278079915, 29937395, 11108823349, 3719257205, 11105783236, 356964361, 598789995, 598789982, 1103538566, 11117413231, 11189060694, 570563662, 251637677, 427265131, 427265134, 251637169, 11210741875, 427259439, 427259457, 25251502, 25251508, 11146767954, 28979469, 250765180]",False
9,3478231533,339132802,node_3478231533,node_339132802,9228.447169877125,2.4765983249138155,0.0415494441986084,10723.975166601165,36.03848139008419,0.003977060317993164,"[3478231533, 431379487, 629871109, 629871049, 629871047, 570292595, 430316815, 561196339, 561195988, 251241851, 251241861, 251241944, 251241941, 251241811, 251241810, 244085869, 244085871, 338819685, 570541773, 427817352, 570541730, 570541731, 616471259, 244085840, 244152859, 250765167, 11136507593, 247688604, 247688603, 8191652706, 8191652664, 8191652665, 8191652679, 8191652663, 8192560286, 8192560289, 247688588, 247688593, 11084747812, 12289441147, 12289441148, 12289441149, 247688546, 247688532, 247688534, 247688538, 7847014982, 3478227255, 338836789, 244085857, 338461807, 338461771, 338460715, 250884897, 245672292, 52939825, 11406439097, 11406439102, 11406439107, 623765055, 339135699, 251457184, 251651390, 251457179, 25477650, 251650601, 11139976715, 11139976711, 11139976708, 339132852, 8191811128, 8191811131, 8191811129, 339132575, 339132802]","[3478231533, 3478231535, 343312821, 5151672923, 343313060, 570352773, 343340460, 332514082, 332514081, 561196355, 561194097, 629459770, 577234544, 561196407, 577234085, 251241911, 247105675, 247105667, 244085882, 244085791, 244085797, 244085866, 244085864, 244085865, 628472638, 11175449196, 248716735, 628472402, 628472371, 245671644, 245671705, 245671659, 245671739, 11175233944, 244085896, 11175233947, 247688658, 247688641, 436641882, 7228559921, 502842696, 244347014, 247688600, 247688601, 247688596, 247688597, 247688593, 11084747812, 12289441147, 12289441148, 12289441149, 247688546, 247688532, 247688534, 247688538, 7847014982, 3478227255, 338836789, 244085857, 338461807, 338484686, 338484688, 338837020, 338460702, 245672308, 251652032, 338486253, 625944318, 338738102, 623765049, 623765048, 338738534, 347302263, 339136046, 339136044, 339136043, 338451300, 347293087, 339141105, 349370456, 251457176, 349371714, 52938401, 251650606, 349395223, 347410486, 339132803, 339132575, 339132802]",False
