scenario_id,source,target,source_name,target_name,dijkstra_distance,dijkstra_travel_time,dijkstra_computation_time,astar_distance,astar_travel_time,astar_computation_time,dijkstra_path,astar_path,same_path
0,616030050,333627756,node_616030050,node_333627756,24795.512161317292,111.20252319388817,0.06229805946350098,21047.171991722033,154.14513749598535,0.009963750839233398,"[616030050, 616030044, 30530788, 30530798, 30530796, 30530817, 30530794, 29936722, 29936720, 30530824, 11251311216, 5964788539, 52922510, 3474558298, 3474558297, 3474558296, 3474558295, 3474558164, 3474558135, 3474558134, 347296623, 428975830, 3438466927, 3474558133, 3474558163, 3474558160, 3474558130, 3474558095, 3474557963, 3474557960, 338343408, 3438413948, 7808658749, 7808658748, 338341898, 338339634, 430309952, 338339301, 347301700, 577418088, 53410526, 338335839, 338335773, 3008076596, 338336788, 244152894, 59207610, 251457235, 3475689433, 3478231643, 11074004068, 11074004067, 11074004065, 338836395, 12177401658, 12177401641, 12177401642, 12177401639, 250884871, 338836519, 338486082, 338836520, 338740531, 338740532, 250884897, 245672292, 338486805, 245672308, 338836569, 338837283, 338837207, 625944351, 338836568, 338836567, 11218776895, 11218776896, 11218776893, 347293018, 347293017, 347293016, 338837247, 11149200015, 347289073, 347289523, 347291856, 347291703, 347289522, 52938512, 347289277, 251654087, 347289818, 347290189, 430282837, 291667135, 347293286, 347293048, 52939705, 628022729, 258077633, 258077259, 11218745702, 11218745699, 347412583, 347412971, 347412972, 347413143, 7465925879, 7465925882, 338772662, 577241926, 338772082, 251654151, 577242786, 2983914532, 338771848, 577241903, 2983914527, 577241905, 577241287, 629454953, 11223686535, 11223686532, 11223686533, 577243181, 294355443, 294356648, 294362589, 294356647, 338267792, 294353239, 11177624256, 629870061, 427270053, 347413538, 347413537, 356202589, 338268856, 338272274, 338268122, 338267797, 338267798, 347413414, 338268965, 338268426, 294366497, 11103503110, 343355473, 431381837, 11223266993, 11223266990, 11223266991, 431380764, 11146808135, 11146808139, 431379667, 343365912, 344523308, 343365828, 343366583, 11146808149, 326132485, 427492065, 326161987, 326161991, 11206429553, 11206429554, 11206429555, 333416297, 430333953, 333386344, 333386644, 333384145, 333384369, 654599515, 333384395, 333381095, 431380930, 333380997, 333380994, 333381137, 333382128, 333382449, 9084669143, 5883053209, 409840125, 431381865, 333627149, 333632668, 333632670, 333630299, 333629117, 9211094345, 11084088588, 633094861, 333629387, 333629385, 333627756]","[616030050, 616030044, 30530788, 30530798, 30530796, 30530817, 30530794, 29936722, 29936720, 30530824, 52922499, 5964788539, 52922510, 11251311220, 728152761, 3474558296, 3474558295, 3474558164, 3474558135, 3474558134, 347296623, 428975830, 3438466927, 3474558133, 3474558163, 3474558160, 3474558158, 3474558187, 3474558185, 3474558184, 8192965718, 8192965717, 8192965715, 3474558124, 3474558122, 3474558121, 3474558152, 254351034, 3974980822, 26046176, 3974980823, 3442531609, 337952280, 337951721, 59203276, 59203275, 59207606, 11163614567, 477802798, 3438566229, 3472512831, 9496952667, 8669530888, 11296186553, 11296186554, 11296186551, 337947337, 3438693399, 4006426858, 11365550673, 11365550674, 11365550671, 11365550672, 4006426854, 428975868, 428975874, 766773277, 428975877, 3942575730, 11203967674, 766773344, 356801678, 3094588004, 244085850, 11154454511, 11154454514, 4674429654, 250765179, 338834316, 28979435, 338834269, 11210679297, 571700241, 571700262, 428960244, 8191733696, 8191733698, 8191733695, 570563441, 616471233, 250765191, 11136507578, 11136507570, 255687476, 250765170, 255687531, 570563593, 570563583, 570541923, 616471264, 11177590886, 11177590887, 11177590888, 29699053, 29699027, 11225733781, 11225733778, 248716722, 251241775, 251241781, 251241933, 251241863, 657233835, 251660038, 12033758996, 561196239, 1371725735, 561196325, 332514085, 10909267164, 343312757, 343312921, 3127306931, 654599459, 343346867, 654647911, 654647907, 654647910, 356202578, 654599460, 251642687, 343347318, 343347242, 251659637, 431379755, 431379754, 343344969, 343343050, 12446006479, 343343980, 431380657, 343343531, 630211774, 431379544, 343342226, 343349755, 431381982, 431381981, 347321429, 326145868, 347321728, 326147007, 431380652, 326145575, 630971096, 326141964, 326141960, 326141581, 326131875, 11146960159, 2873921314, 2873921313, 654599452, 4558903764, 631286573, 2873954399, 10958565011, 8533439613, 326151864, 10958565027, 326125587, 10958565030, 10958565051, 654599455, 333384142, 333384395, 333381095, 431380930, 333380997, 333380994, 333381137, 333382128, 333382449, 9084669143, 5883053209, 409840125, 431381865, 333627149, 333632668, 333632670, 333630299, 333629117, 9211094345, 11084088588, 633094861, 333629387, 333629385, 333627756]",False
1,3927897739,288984984,node_3927897739,node_288984984,7944.220229026963,48.712088382397276,0.021361112594604492,7871.432490873852,47.61154982896587,0.008250236511230469,"[3927897739, 248716750, 250765224, 338818473, 255687493, 244085840, 616471259, 570541731, 570541790, 570541788, 11342427926, 11342427927, 11342427928, 11136507586, 616471228, 251638245, 570563401, 570563441, 251638246, 250765185, 11084701220, 250765184, 571700451, 534942624, 250765175, 250765174, 250765172, 3329450719, 251635055, 11146767958, 11146767964, 251637674, 11154565319, 570563644, 570563662, 11189060694, 11189060690, 11117413229, 3955884343, 598789990, 472919566, 268528030, 278079915, 11100014006, 11108823320, 11106039376, 288982291, 11108823330, 11108823305, 11108823333, 11108811801, 11108823340, 27511885, 11110363599, 11110421205, 11205655025, 553312569, 288984984]","[3927897739, 248716750, 250765224, 628472436, 628472468, 628472495, 628472515, 11175449200, 250765232, 628472668, 11172155782, 251241886, 628472688, 570541778, 338819685, 244085871, 251241824, 251241810, 251241849, 251241818, 251241841, 1357164805, 251241807, 251657961, 28979458, 29699053, 29207974, 11177590865, 11177590866, 11177590842, 11177590843, 29699063, 11177255227, 427259210, 427259227, 8191894393, 8191894415, 8191894374, 8191894385, 8191894390, 849074694, 11168538752, 11168538750, 45132739, 45136236, 29891787, 50758881, 50758874, 27699341, 51066429, 50758870, 45136158, 29891832, 616471329, 245672797, 11100172048, 11100129262, 7201381149, 11369908026, 6252645493, 11100338290, 3250176019, 5021433300, 339056343, 339056341, 11014386660, 11014386661, 464833438, 339056322, 11110363564, 178146101, 11110363576, 278079909, 278079907, 27511885, 11110363599, 11110421205, 11205655025, 11205655029, 288984984]",False
2,333783427,338364658,node_333783427,node_338364658,16171.204596573943,53.034457107340195,0.053791046142578125,14149.332132437086,108.2294656742974,0.007628440856933594,"[333783427, 334078149, 333782499, 333782233, 333772331, 333772335, 333771007, 3824315028, 333768834, 333767569, 333767762, 431379679, 431382008, 348068899, 9834131891, 333771005, 333771193, 333771190, 333771189, 348071686, 333782611, 430038811, 333771220, 333771466, 333783788, 347328184, 3001458863, 11079160586, 11184181372, 3683034520, 11225903603, 11225903604, 11225903601, 430316754, 570353189, 570353204, 570353166, 11528356997, 11206056583, 11206056584, 11206056581, 570352981, 570352953, 570353020, 430316751, 570292643, 570292645, 570292655, 255688491, 343312756, 570292633, 570292631, 430316792, 598412794, 654599470, 561196239, 1371725735, 561195981, 248717596, 657233835, 251241863, 251241933, 251241781, 251241789, 251241820, 251241818, 251241841, 338510074, 570541873, 1805495594, 1805495622, 1805495597, 570541830, 570541823, 570541791, 570541790, 570541788, 11342427926, 11342427927, 11342427928, 11136507586, 616471228, 251638245, 8191733672, 8191733675, 428960247, 6956242242, 571700241, 8191711347, 8191711346, 257000774, 52931855, 11084747806, 257000390, 257000414, 616471195, 3094587319, 247688571, 247688570, 247688569, 247688531, 428959953, 247688532, 247688534, 247688529, 247688550, 3478227261, 247688549, 5474439529, 338740532, 250884897, 245672292, 52939825, 244346982, 11406439069, 11406439070, 11406439071, 623765054, 251457184, 251457181, 251457179, 251650600, 5150800307, 339135121, 8191628224, 8191628222, 8191628223, 8191628221, 8191628181, 8191628179, 8191628182, 339132399, 347408683, 6345563952, 347409118, 338361053, 6345563948, 320731905, 338364649, 338492046, 338364653, 8192965534, 8192965533, 8192965536, 338364657, 338359274, 320731904, 338364658]","[333783427, 334078149, 333783424, 333783426, 431381187, 431379826, 11160905453, 3823826780, 251633694, 6427360981, 12058070047, 11079190226, 8191685529, 8191685530, 8191685528, 431379483, 11079160582, 431381778, 347293282, 431379485, 11225903602, 11225903603, 11225903604, 11225903601, 430316754, 570353189, 570353204, 570353166, 11292212412, 11292212372, 11292212373, 11292212374, 11292212391, 3025892683, 26951639, 11103190264, 26270972, 29207964, 4678340972, 29207961, 654599496, 2153963911, 2400013414, 10966095257, 29891783, 45132746, 45132739, 45136236, 29891787, 50758881, 45132702, 51066402, 11367382311, 51066486, 3950951582, 11189060690, 11189060694, 570563662, 251637677, 3150088469, 11248701696, 3150088468, 3150088467, 427265128, 427259311, 427259297, 251637172, 427777647, 255687239, 11146784203, 11146790510, 11146790505, 571700499, 571700486, 426518881, 571700309, 28979469, 534942458, 250765171, 11218731650, 11102806906, 534942606, 766773345, 3942575730, 11203967674, 338836117, 338836121, 338836135, 616471075, 616471071, 575910383, 338836116, 249634297, 247688427, 338836394, 3503895456, 11074004066, 3478231642, 3478231643, 3475689433, 251457233, 2400037711, 127417822, 11206631234, 11206631232, 338700145, 339135250, 338700150, 338700152, 338700153, 338699789, 244085819, 11099809616, 11099809615, 320732259, 320732260, 320736643, 338368054, 338368051, 8192965561, 8192965558, 8192965560, 338368042, 338368078, 320732262, 338364170, 338361791, 338364209, 338364658]",False
3,616030050,11144539103,node_616030050,node_11144539103,21245.020648580616,105.01531837810985,0.05779123306274414,21645.580524841647,141.72909731625128,0.013210296630859375,"[616030050, 616030044, 30530788, 30530798, 30530796, 30530817, 30530794, 29936722, 29936720, 30530824, 11251311216, 5964788539, 52922510, 3474558298, 3474558297, 3474558296, 3474558295, 3474558164, 3474558135, 3474558134, 347296623, 428975830, 3438466927, 3474558133, 3474558163, 3474558160, 3474558130, 3474558095, 3474557963, 3474557960, 338343408, 3438413948, 7808658749, 7808658748, 338341898, 338339634, 430309952, 338339301, 347301700, 577418088, 53410526, 338335839, 338335773, 3008076596, 338336788, 244152894, 59207610, 251457235, 3475689433, 3478231643, 11074004068, 11074004067, 11074004065, 338836395, 12177401658, 12177401641, 12177401642, 12177401639, 250884871, 338836519, 338486082, 338836520, 338740531, 338740532, 250884897, 245672292, 338486805, 245672308, 338836569, 338837283, 338837207, 625944351, 338836568, 338836567, 11218776895, 11218776896, 11218776893, 347293018, 347293017, 347293016, 338837247, 11149200015, 347289073, 347289523, 347291856, 347291703, 347289522, 52938512, 347289277, 251654087, 347289818, 347289819, 347289866, 347289924, 291667422, 291667423, 338440435, 9563709363, 10266224839, 4750652803, 11140192383, 347556347, 347556471, 347294452, 347294321, 347294625, 347294626, 347294628, 347294629, 338768871, 249404597, 577241065, 577240224, 431014652, 431014694, 11145118176, 338768872, 368883447, 629454214, 368883446, 629454751, 427270046, 11223161476, 11223161481, 11223161466, 11223161471, 356203158, 338409506, 431379935, 427282758, 249404611, 344890866, 344890872, 344891107, 338896091, 221876807, 249405264, 249405257, 249405249, 630968497, 630968629, 344527424, 249405245, 344526496, 12176901272, 8623629464, 326137902, 326137744, 338895602, 11144539103]","[616030050, 616030044, 30530788, 30530798, 30530796, 30530817, 30530794, 29936722, 29936720, 30530824, 52922499, 5964788539, 52922510, 11251311220, 728152761, 3474558296, 3474558295, 3474558164, 3474558135, 3474558134, 347296623, 428975830, 3438466925, 52925063, 3474557965, 347405531, 577417895, 577417894, 338491960, 616471036, 338491961, 338343418, 7808658748, 338341898, 255183284, 338341900, 338339635, 53411573, 338340298, 338340300, 338340301, 338340303, 338340305, 338340308, 251457236, 3475689437, 3475689435, 11144417801, 616471069, 3478231643, 11074004068, 11074004067, 11074004065, 338836395, 12177401658, 12177401641, 12177401642, 12177401639, 12177401640, 338836410, 338486086, 338486159, 52931862, 11168545238, 247688452, 247688458, 247688460, 3478231524, 428959954, 12644651974, 12644651971, 12644651973, 12644651972, 247688532, 428959953, 428959951, 247688569, 8232235103, 8232235105, 8232235102, 247688574, 5127509926, 5127509925, 8191634983, 8191634980, 247688588, 8192560289, 8192560287, 247688597, 247688602, 11275948070, 11275948071, 247688606, 628023836, 11342427883, 11342427880, 11342427881, 11342427882, 244152861, 8870218061, 244152860, 244085840, 255687493, 338818473, 250765224, 628472436, 628472468, 628472495, 628472515, 11175449200, 250765232, 628472668, 11172155782, 244085845, 244085868, 251241888, 11172155775, 251241900, 251241907, 247105687, 251241924, 11145118118, 251241914, 629459690, 629459754, 577234085, 561196407, 577234544, 561196409, 11225540078, 11225540079, 11225540076, 11225540077, 11225526524, 11225526521, 332514070, 347320674, 629459399, 347320720, 347320789, 629459499, 431380805, 347320979, 347321028, 431379692, 8037918752, 8037918753, 11140070110, 11140070108, 271745242, 295232511, 295232420, 347413966, 11072097661, 658886252, 11072097665, 11072097668, 658886247, 294366498, 338268864, 338268128, 338268426, 338268965, 347413414, 347413416, 338268122, 338267797, 343358541, 431381005, 249404624, 431381776, 249404620, 249404659, 249404618, 320027998, 249405968, 343461246, 249404652, 344525098, 249404586, 344526713, 249404721, 249405268, 344527167, 344527045, 344527041, 630968629, 344527424, 249405245, 344526496, 12176901272, 8623629464, 326137902, 326137744, 338895602, 11144539103]",False
4,3478231533,9448719748,node_3478231533,node_9448719748,9201.71706011362,41.57154871217998,0.0382077693939209,7753.173380425209,73.17040184798627,0.0044095516204833984,"[3478231533, 3478231535, 431379468, 570292607, 430316818, 332514084, 430316815, 561196339, 561196330, 561196335, 561196325, 1371725735, 561195981, 248717596, 657233835, 251241863, 251241933, 251241781, 251241789, 251241820, 251241818, 251241841, 338510074, 570541873, 1805495594, 1805495622, 1805495597, 570541830, 570541823, 570541791, 570541790, 570541788, 11342427926, 11342427927, 11342427928, 11136507586, 616471228, 251638245, 8191733672, 8191733675, 428960247, 6956242242, 571700241, 8191711347, 8191711346, 257000774, 11210679297, 338510187, 433973337, 257000348, 25251500, 616471221, 616471224, 255687240, 534942613, 250765173, 250765171, 11218731650, 11102806906, 52711990, 11210832576, 1908456303, 3472504201, 11251856779, 247688349, 3453187598, 247688357, 11206245927, 11223522471, 11223522476, 1543795004, 3438931410, 497447191, 11365516857, 11365516858, 3461417892, 11159330525, 29823354, 3458499284, 3458502750, 9448719749, 9448719748]","[3478231533, 3478231535, 431379468, 570292607, 430316818, 332514084, 430316815, 561196339, 561196330, 561195986, 561195987, 251241838, 251241834, 251241939, 251241831, 251241820, 251241818, 251241841, 1357164805, 570541892, 251640310, 251657961, 251657960, 3392507282, 291467034, 255687797, 5022107631, 291467039, 5022107632, 255687531, 570563593, 570563583, 430349498, 11256190148, 11256190167, 11256190150, 11256190151, 11136507552, 616471255, 12177445851, 12177445852, 12177445853, 11146767968, 11146767964, 11146767958, 251635055, 427259457, 25251502, 338835506, 7961861493, 11210741875, 251637169, 251637170, 251637172, 427777647, 255687239, 877917522, 877917640, 3474254903, 29822894, 616471267, 616471156, 616471159, 30350217, 432429592, 30350220, 432429565, 4319760370, 278796778, 3453187199, 30350216, 29822887, 3458502747, 3458502749, 1848111994, 9448719748]",False
5,3478231533,616471233,node_3478231533,node_616471233,4600.682007781066,12.877946687417523,0.005847454071044922,4622.306395693674,19.752269382175854,0.0017566680908203125,"[3478231533, 3478231535, 431379468, 570292607, 430316818, 332514084, 430316815, 561196339, 561196330, 561196335, 561196325, 1371725735, 561195981, 248717596, 657233835, 251241863, 251241933, 251241781, 251241789, 251241820, 251241818, 251241841, 338510074, 570541873, 1805495594, 1805495622, 1805495597, 570541830, 570541823, 570541791, 570541790, 570541788, 11342427926, 11342427927, 11342427928, 11136507586, 616471228, 251638245, 570563401, 570563441, 616471233]","[3478231533, 3478231535, 431379468, 570292607, 430316818, 332514084, 430316815, 561196339, 561196330, 561195986, 561195987, 251241838, 251241834, 251241939, 251241831, 251241820, 251241818, 251241841, 1357164805, 570541892, 251640310, 251657961, 251657960, 3392507282, 291467034, 255687797, 5022107631, 291467039, 291467036, 250765201, 11342449469, 11342449470, 11342427967, 430349467, 11342427927, 11342427928, 11136507586, 616471228, 251638245, 570563401, 570563441, 616471233]",False
6,616030050,338837927,node_616030050,node_338837927,13947.746678178864,63.683003967307855,0.02727794647216797,13292.437675408375,75.71049911180677,0.013295650482177734,"[616030050, 616030044, 30530788, 30530798, 30530796, 30530817, 30530794, 29936722, 29936720, 30530824, 11251311216, 5964788539, 52922510, 3474558298, 3474558297, 3474558296, 3474558295, 3474558164, 3474558135, 3474558134, 347296623, 428975830, 3438466927, 3474558133, 3474558163, 3474558160, 3474558130, 3474558095, 3474557963, 3474557960, 338343408, 3438413948, 7808658749, 7808658748, 338341898, 338339634, 430309952, 338339301, 347301700, 577418088, 53410526, 338335839, 338335773, 3008076596, 338336788, 244152894, 59207610, 251457235, 3475689433, 3478231643, 11074004068, 11074004067, 11074004065, 338836395, 12177401658, 12177401641, 12177401642, 12177401639, 250884871, 338836519, 338486082, 338836520, 338740531, 338740532, 250884897, 245672292, 338486805, 245672308, 338836569, 338837283, 338837207, 625944351, 338836568, 338836567, 11218776895, 11218776896, 11218776893, 347293018, 347293017, 338837328, 347289075, 347289076, 347289172, 347289173, 338837326, 338836565, 339140720, 338440433, 8192884862, 8192884860, 8192884863, 8192884886, 8192884887, 8192884888, 11223369994, 11223369991, 11223369992, 347295715, 11154350681, 347295794, 347295757, 347568825, 338837934, 347292846, 347292685, 347289352, 626059837, 626059839, 626059782, 338837936, 338837927]","[616030050, 616030044, 30530788, 30530798, 30530796, 30530817, 30530794, 29936722, 29936720, 30530824, 11251311216, 5964788539, 52922510, 11251311220, 728152761, 3474558296, 3474558295, 3474558164, 3474558135, 3474558134, 347296623, 428975830, 3438466925, 52925063, 3474557965, 347405531, 577417895, 577417894, 338491960, 616471036, 338491961, 1029244786, 430309890, 430309952, 338339301, 347301700, 577418088, 53410526, 338335839, 338335773, 338337410, 338337429, 338337451, 338338463, 4316270625, 11099809616, 11099809615, 320732259, 562622494, 562622490, 338697617, 3474557885, 3474557882, 338491641, 338492577, 339135016, 338361052, 347409118, 6345563952, 6345563958, 8191628179, 8191628182, 8191628180, 338492576, 339132392, 11248728350, 339132851, 339132850, 8191811167, 8191811168, 8191811169, 8191811170, 339132808, 8191811131, 8191811129, 8191811130, 339132810, 347410407, 339132803, 349385323, 349395223, 251650606, 251650599, 12176958488, 12176958486, 8699775453, 12176958487, 349398907, 349397122, 349911529, 349911557, 349911577, 349364240, 349356798, 623764919, 251649991, 338738844, 338440433, 8192884862, 8192884860, 8192884863, 8192884886, 8192884887, 8192884888, 11223369994, 11223369991, 11223369992, 347295715, 11154350681, 347295794, 347295757, 347568825, 347568727, 347302596, 347292845, 347292846, 347292685, 347289352, 626059837, 626059839, 626059782, 338837936, 338837927]",False
7,616030050,7465110984,node_616030050,node_7465110984,15431.695445665906,71.90157876682824,0.03238797187805176,14341.395544920382,120.14406198976334,0.006581306457519531,"[616030050, 616030044, 30530788, 30530798, 30530796, 30530817, 30530794, 29936722, 29936720, 30530824, 11251311216, 5964788539, 52922510, 3474558298, 3474558297, 3474558296, 3474558295, 3474558164, 3474558135, 3474558134, 347296623, 428975830, 3438466927, 3474558133, 3474558163, 3474558160, 3474558130, 3474558095, 3474557963, 3474557960, 338343408, 3438413948, 7808658749, 7808658748, 338341898, 338339634, 430309952, 338339301, 347301700, 577418088, 53410526, 338335839, 338335773, 3008076596, 338336788, 244152894, 59207610, 251457235, 3475689433, 3478231643, 11074004068, 11074004067, 11074004065, 338836395, 12177401658, 12177401641, 12177401642, 12177401639, 250884871, 338836519, 338486082, 338836520, 338740531, 338740532, 250884897, 245672292, 338486805, 245672308, 338836569, 338837283, 338837207, 625944351, 338836568, 338836567, 11218776895, 11218776896, 11218776893, 347293018, 347293017, 347293016, 338837247, 11149200015, 347289073, 347289523, 347291856, 347291703, 347289522, 52938512, 347289277, 251654087, 347289818, 347290189, 430282837, 291667135, 347293286, 347293048, 52939705, 628022729, 258077633, 258077259, 11218745702, 11218745699, 347412583, 347412971, 347412972, 347413143, 7465925879, 7465925882, 338772662, 577241926, 338772082, 251654151, 577242786, 2983914532, 338771848, 577241903, 2983914527, 577241905, 7465110984]","[616030050, 616030044, 30530788, 30530798, 30530796, 30530817, 30530794, 29936722, 29936720, 30530824, 52922499, 5964788539, 52922510, 11251311220, 728152761, 3474558296, 3474558295, 3474558164, 3474558135, 3474558134, 4324805583, 3474558099, 3474557967, 52925063, 3474557965, 347405531, 577417895, 577417894, 338491960, 616471036, 338491961, 338343418, 7808658748, 338341898, 338339634, 338339635, 53411573, 338340298, 338340300, 338340301, 338340303, 338340305, 338340308, 251457236, 3475689437, 3475689435, 11144417801, 616471069, 3478231643, 11074004068, 11074004067, 11074004065, 338836395, 12177401658, 12177401641, 12177401642, 12177401639, 12177401640, 338836410, 338486086, 338486159, 52931862, 11168545238, 247688452, 247688458, 247688460, 3478231524, 428959954, 12644651974, 12644651971, 12644651973, 247688529, 247688525, 247688538, 247688560, 338741845, 338741184, 7847014978, 244085859, 428959956, 11275948091, 8313615384, 628023092, 250884924, 250884919, 250884936, 250884905, 338766288, 628023115, 338766626, 347413060, 347413058, 11206871000, 11218745721, 11218745722, 11218745719, 11218745720, 347413139, 3927932564, 338773418, 577242342, 2983914538, 338773225, 338773214, 7465942101, 7465942098, 7465942099, 338773097, 577242057, 431014382, 577241926, 338772082, 251654151, 577242786, 2983914532, 338771848, 577241903, 2983914527, 577241905, 7465110984]",False
8,333783427,250765180,node_333783427,node_250765180,9455.138119113508,44.602287795341766,0.0323796272277832,8404.303852779796,70.5681666345717,0.006415843963623047,"[333783427, 334078149, 333782499, 333782233, 333772331, 333772335, 333771007, 3824315028, 333768834, 333767569, 333767762, 431379679, 431382008, 348068899, 9834131891, 333771005, 333771193, 333771190, 333771189, 348071686, 333782611, 430038811, 333771220, 333771466, 333783788, 347328184, 3001458863, 11079160586, 11184181372, 3683034520, 11225903603, 11225903604, 11225903601, 430316754, 570353189, 570353204, 570353166, 11292212412, 11292212372, 11292212373, 11292212374, 11292212391, 3025892683, 26951639, 11103190264, 26270972, 29207964, 4678340972, 29207961, 654599496, 2153963911, 2400013414, 10966095257, 29891783, 45132746, 45132739, 45136236, 29891787, 50758881, 45132702, 51066402, 11367382311, 51066486, 3950951582, 11189060690, 11117413229, 11117413231, 427777608, 11248701696, 3150088468, 3150088467, 427265128, 427259311, 427259297, 251637172, 427777647, 255687239, 11146784203, 11146790510, 11146790505, 571700499, 571700532, 571700520, 426518880, 571700364, 571700309, 28979469, 250765180]","[333783427, 334078149, 333782499, 333782233, 6429434447, 6429434448, 317100983, 9318697508, 333771708, 333771190, 333771189, 348071686, 333782611, 430038811, 333771220, 291466526, 291466720, 11123995151, 570353229, 289525028, 1150189486, 38876644, 38876017, 38876056, 598412833, 598412831, 598412826, 38876086, 598412824, 4701443709, 4386621783, 7383338040, 4702983602, 11100188454, 10964232466, 10964232406, 11100112459, 10964232410, 10964232424, 616471324, 10964232425, 616471328, 29891833, 29891832, 45136158, 50758870, 51066429, 27699341, 29891786, 50758881, 45132702, 51066402, 11367382311, 51066486, 3950951582, 11189060690, 11189060694, 570563662, 251637677, 3150088469, 11248701696, 3150088468, 3150088467, 427265128, 427259311, 427259297, 251637172, 427777647, 255687239, 11146784203, 11146790510, 11146790505, 571700499, 571700486, 426518881, 571700309, 28979469, 250765180]",False
9,3478231533,339132802,node_3478231533,node_339132802,10653.451665261668,43.72644605780811,0.11746597290039062,11369.305141871639,97.14489906516881,0.012041330337524414,"[3478231533, 3478231535, 431379468, 570292607, 430316818, 332514084, 430316815, 561196339, 561196330, 561196335, 561196325, 1371725735, 561195981, 248717596, 657233835, 251241863, 251241933, 251241781, 251241789, 251241820, 251241818, 251241841, 338510074, 570541873, 1805495594, 1805495622, 1805495597, 570541830, 570541823, 570541791, 570541790, 570541788, 11342427926, 11342427927, 11342427928, 11136507586, 616471228, 251638245, 8191733672, 8191733675, 428960247, 6956242242, 571700241, 8191711347, 8191711346, 257000774, 52931855, 11084747806, 257000390, 257000414, 616471195, 3094587319, 247688571, 247688570, 247688569, 247688531, 428959953, 247688532, 247688534, 247688529, 247688550, 3478227261, 247688549, 5474439529, 338740532, 250884897, 245672292, 52939825, 244346982, 11406439069, 11406439070, 11406439071, 623765054, 251457184, 251457181, 251457179, 251650600, 5150800307, 339135121, 623764892, 338492576, 339132392, 11248728350, 339132851, 339132850, 339132849, 338349983, 339132800, 339132801, 339132802]","[3478231533, 3478231535, 431379468, 570292607, 430316818, 332514084, 430316815, 561196339, 561196330, 561195986, 561195988, 561195989, 561195991, 561195990, 11145118113, 251241926, 251241929, 11172155770, 251241900, 11172155775, 251241888, 11269904908, 11269904909, 244085862, 244085867, 244085865, 628472638, 11175449196, 248716735, 11175449200, 628472515, 628472495, 628472468, 628472436, 250765224, 250765223, 11342427881, 11342427882, 11342427883, 11342427880, 436639534, 338813473, 11136507601, 11136507603, 11543754485, 244347014, 628023614, 628023536, 5132175423, 8313615384, 628023092, 250884924, 250884919, 250884949, 250884901, 52939721, 52939716, 10922338695, 244085859, 428959955, 251653281, 338742398, 338836801, 338836789, 244085857, 338461807, 338484686, 338837019, 11154350655, 52939713, 250885044, 338837236, 338837205, 338837207, 625944351, 338836568, 338836567, 339140715, 339140819, 8192872594, 8192872592, 8192872595, 11218776874, 11218776875, 11218776876, 339141106, 347293101, 349370456, 339141105, 339141104, 339132810, 347410407, 339132803, 339132575, 339132802]",False
