scenario_id,source,target,source_name,target_name,dijkstra_distance,dijkstra_travel_time,dijkstra_computation_time,astar_distance,astar_travel_time,astar_computation_time,dijkstra_path,astar_path,same_path
0,616030050,333627756,node_616030050,node_333627756,21076.714430632743,7.496710840049252,0.061254024505615234,20664.16312209336,42.67638514663263,0.007441520690917969,"[616030050, 616030044, 30530788, 30530798, 30530790, 30530792, 30530796, 30530817, 8577381259, 8577381258, 8577381257, 728152745, 728152744, 11251311208, 3474558308, 3474558305, 3474558303, 11251311214, 531007399, 30530824, 52922499, 52922519, 30327176, 30341834, 347403927, 11629568918, 11629568919, 290748903, 11186293208, 250765207, 535032990, 347296077, 11186293222, 535032997, 11186293226, 3461424710, 3461424713, 1848118462, 3461423488, 497447226, 347295979, 3461420028, 3461420034, 3461420036, 3461420030, 3461420027, 427777612, 3438643285, 60428376, 60428456, 250887921, 11186338657, 11186338659, 3461418093, 728153870, 11223522438, 247688383, 766773285, 8192844367, 8192844368, 766773287, 3438765207, 3472470594, 1908456303, 11102738104, 52711990, 11146784166, 250765180, 28979469, 11146767954, 571700364, 426518880, 571700520, 571700532, 251637170, 11463588088, 427265131, 427265134, 426518879, 251637674, 11146767964, 11146767968, 11136507556, 11136507560, 11154565337, 11154565314, 51066486, 11367382311, 11168538756, 11168538752, 11168538750, 10966144231, 10966095302, 29207964, 4678340972, 4678340976, 11292212420, 11292212417, 11292212418, 26951639, 3025892683, 11292212391, 11292212374, 11292212371, 11292212372, 11292212412, 570353166, 570353204, 570353189, 570353051, 11206056559, 11206056560, 11206056557, 11206056539, 11206056540, 11206056537, 430316751, 570292643, 431381413, 654647955, 11072057997, 431381405, 11205977628, 431379883, 9834131871, 426297140, 10962103845, 10962103844, 10962103849, 332513608, 332513439, 332513563, 322957214, 322967209, 332513797, 431370616, 322955051, 322950666, 431379597, 431381843, 653997320, 5474522364, 5130067321, 9089517009, 320018461, 256956354, 9527719699, 9527719702, 431379738, 431379739, 431379736, 646097151, 325867570, 431379759, 3612153120, 325865947, 325865426, 431380669, 431380668, 333628510, 333628768, 333628769, 9211094345, 333627756]","[616030050, 616030044, 30530788, 30530798, 30530790, 30530792, 30530796, 30530817, 30530794, 29936722, 531007399, 30530824, 52922499, 52922519, 30327176, 30341834, 347403927, 11629568918, 11629568919, 290748903, 11186293208, 250765207, 535032990, 347296077, 11186293222, 535032997, 11186293226, 347296399, 3474558184, 3474558182, 3474558181, 3474558152, 254351034, 3474558119, 3442531609, 337952280, 337951721, 4957733817, 566436685, 3442531606, 478223966, 478223993, 478223995, 478223997, 478223998, 11296186526, 11296186523, 535906260, 11144417790, 251457239, 11144417793, 4678083705, 11365550674, 11365550671, 11365550672, 4006426854, 8192844415, 8192844416, 247688398, 428975868, 428975874, 766773277, 428975877, 534942606, 766773345, 766773344, 356801678, 3094588004, 3317183454, 7189077011, 7189077010, 3094553186, 251652949, 251652951, 571700225, 616471209, 257000493, 11084747806, 8191711388, 8191711390, 8191711389, 257000765, 8191733631, 8191733632, 427265158, 8191652745, 570563298, 616471204, 11136507589, 11342427950, 11342427947, 11342427948, 570541731, 570541730, 628472453, 628472608, 570541757, 570541773, 338819685, 570541778, 11165900436, 11165900437, 11165900438, 251241869, 251241875, 11172155770, 251241873, 629457759, 629460032, 561195991, 561196349, 430316818, 570292607, 431379468, 431379487, 654647908, 778752900, 654647902, 247105652, 4711606523, 10942372262, 343339840, 343339855, 630211914, 343339834, 431380657, 343343874, 431379542, 431379543, 431372967, 347325424, 427250399, 11123399757, 11123399759, 630971459, 12613623630, 343342600, 654611432, 654611439, 332805452, 630971770, 332810828, 431380637, 332810829, 332817484, 332821064, 631286743, 332837296, 332837100, 427491302, 11006014960, 332845461, 256956769, 332844945, 332844948, 332847103, 332851707, 631287790, 332852312, 332853154, 332854091, 5883053209, 409840125, 431381865, 333627149, 333632668, 333632670, 333630299, 333630298, 333629115, 333626645, 333628510, 333628768, 333628769, 9211094345, 333627756]",False
1,3927897739,288984984,node_3927897739,node_288984984,7340.429569097734,0.7561492516116285,0.02162003517150879,7857.898546045,21.65616674910718,0.0050411224365234375,"[3927897739, 248716750, 250765224, 338818473, 255687493, 244085840, 616471259, 616471208, 11342427947, 11342427948, 570541731, 570541790, 430349455, 11342427925, 11342427926, 570541788, 570541796, 570541809, 570541876, 291467034, 255687797, 5022107631, 5022107633, 570541923, 291467042, 251657913, 584179758, 11177255218, 291467044, 427259206, 8191894735, 8191894733, 291467053, 11367382311, 51066402, 29891786, 26240682, 27699344, 26240680, 1103556997, 1500878434, 10059773803, 10059773797, 1103557011, 1103557026, 598789990, 472919566, 11125636984, 268528011, 603388901, 11186213200, 11108823341, 27511857, 11253507642, 11110363576, 178146101, 10945131971, 553312569, 288984984]","[3927897739, 248716750, 250765224, 338818473, 255687493, 244085840, 616471259, 628472453, 628472608, 427817352, 570541773, 570541854, 570541857, 1805495540, 1805495568, 1805495571, 1805495594, 1805495622, 570541833, 11248727250, 11248727251, 11248727252, 3392507282, 251657960, 251657961, 28979458, 29699053, 29699027, 11172409198, 10966095286, 29699063, 11177590843, 11177590844, 11177590841, 584179758, 11177255218, 11177255223, 427259227, 8191894393, 8191894415, 8191894374, 8191894385, 8191894390, 849074694, 11168538752, 11168538750, 10966144231, 10966095302, 654599496, 29207961, 4678340973, 28979447, 26270965, 11292212441, 11292212442, 11292212443, 251657390, 11103190229, 11103190230, 11103190228, 570362619, 570362649, 570362647, 429903291, 11100188449, 4701443709, 598412824, 598412825, 598412828, 598412829, 598412830, 38876069, 38876013, 38876639, 598412834, 598412839, 288984429, 255472207, 7143391561, 7143391559, 288984992, 288984284, 288982872, 288982292, 288984984]",False
2,333783427,338364658,node_333783427,node_338364658,12830.842305544262,21.646718514918067,0.04624676704406738,12600.417683300831,46.5938019638508,0.005086660385131836,"[333783427, 431379677, 244085751, 3262304441, 3262304449, 11210891947, 11210891948, 11210891945, 11210891967, 11210891968, 431380034, 251627680, 9834131871, 431379883, 11205977628, 431379881, 431381828, 255688601, 598412804, 570255158, 570255087, 356202561, 654647946, 654647925, 431381800, 431381791, 431379465, 570292631, 430316792, 598412801, 10909267165, 10909267164, 332514085, 561196325, 561195985, 10943140422, 251241859, 251241937, 251241820, 251241818, 251241841, 338510074, 570541873, 1805495594, 1805495622, 570541833, 11248727250, 11248727251, 11248727252, 11248727253, 570541876, 570541830, 570541796, 430349467, 11136507583, 616471230, 570563401, 428960247, 6956242242, 428960244, 571700262, 338510187, 433973337, 616471221, 28979435, 7189077013, 3317183454, 7189077011, 3478231657, 3478231653, 3478231648, 11102806913, 247688472, 11102806915, 11102806917, 3478231524, 247688460, 247688458, 247688548, 247688549, 5474439529, 338740532, 250884897, 289239487, 338487928, 338737235, 338736045, 429345663, 11144474519, 245672275, 127422401, 127423615, 623765100, 623765112, 338697617, 562622490, 562622494, 320732259, 320732260, 338357986, 338358389, 338697355, 338361785, 8192965533, 8192965536, 338364657, 338364658]","[333783427, 333782498, 333782499, 333782500, 333782501, 3074421143, 333783608, 7535463719, 2131575846, 426296915, 430038807, 3001458864, 347328184, 3001458863, 11079160586, 11184181372, 431379485, 11225903602, 11225903603, 11225903604, 255688489, 29742112, 570353179, 429320777, 11292156152, 11292156153, 11292156154, 11292156151, 11292212373, 11292212374, 11292212371, 11103190279, 11225755243, 11225755244, 11225733822, 11225733823, 11225733824, 11225733821, 570352736, 11054104829, 570352693, 654599441, 598412784, 10966119506, 11139999769, 563319413, 10966095255, 10966144231, 11168538750, 11168538752, 11168538756, 11367382311, 51066486, 11154565314, 570563644, 251637676, 427265134, 426518879, 427259378, 427259439, 427259457, 25251502, 25251508, 11146767954, 28979469, 250765180, 11146784166, 52711990, 11210832576, 3472504193, 3472504194, 247688390, 3472504195, 11365508352, 11365508353, 11365508354, 59203271, 11296186552, 11296186553, 11296186554, 59203274, 59203275, 337947327, 478223997, 3474557937, 3474557938, 255247906, 346162795, 338340303, 338340301, 338340300, 338339636, 53411573, 338339303, 53410526, 338335839, 53410534, 53423699, 347296809, 529790160, 244085815, 11099809614, 430313151, 338358607, 8192965603, 8192965604, 338368280, 338368075, 338368042, 11223452346, 11223452347, 11223452344, 338364167, 338361789, 338364658]",False
3,616030050,11144539103,node_616030050,node_11144539103,21523.817825474212,4.161993284649044,0.05033230781555176,23209.12081042178,73.57028463995454,0.008616209030151367,"[616030050, 616030044, 30530788, 30530798, 30530790, 30530792, 30530796, 30530817, 8577381259, 8577381258, 8577381257, 728152745, 728152744, 11251311208, 3474558308, 3474558305, 3474558303, 3474558300, 3474558298, 3474558297, 3474558166, 3474558165, 3474558164, 3474558135, 3438466928, 3474558100, 3474558099, 3438466925, 52925063, 3474557965, 347405531, 577417895, 577417894, 338491960, 616471037, 3438413948, 7808658749, 7808658748, 338341898, 255183284, 338341900, 338340298, 338340300, 338340301, 338339639, 338339305, 338339307, 244152894, 338335816, 251457230, 251457233, 2400037711, 127417822, 127417824, 127443045, 11074004067, 11074004065, 338836395, 338836409, 338836413, 338836410, 338486086, 338486082, 623765190, 338487849, 338486011, 338487928, 289239487, 52939825, 244346982, 338486805, 245672308, 338836569, 338837283, 338837207, 338837205, 338837241, 338837330, 347302254, 339140883, 347293017, 338837328, 347289075, 347289173, 338837326, 52938471, 347289525, 52938461, 11084747850, 347292055, 11139724436, 52936775, 347292850, 11139724432, 347293626, 347292691, 347293611, 347560945, 347560742, 347294850, 347294852, 347292166, 347292165, 347293732, 347293679, 628020022, 628020012, 347292190, 347293810, 347293850, 628468800, 344595255, 344595226, 347294737, 347294753, 344595219, 369119492, 338896417, 294362123, 294363636, 294363637, 368883447, 629454214, 368883446, 629454751, 427270046, 431382012, 356203158, 338409506, 431379934, 368882732, 3819816625, 427282758, 249404796, 249405264, 221876807, 344891062, 344891107, 338896091, 206199583, 10822573617, 344593761, 344593764, 326137912, 338895602, 11144539103]","[616030050, 616030044, 30530788, 30530798, 30530790, 30530792, 30530796, 30530817, 30530794, 29936722, 531007399, 30530824, 52922499, 52922519, 30327176, 30341834, 347403927, 11629568918, 11629568919, 290748903, 11186293208, 250765207, 535032990, 347296077, 11186293222, 535032997, 11186293226, 347296399, 3474558184, 3474558182, 3474558181, 3474558152, 254351034, 3474558119, 3442531609, 337952280, 337951721, 4957733817, 566436685, 3442531606, 478223966, 478223993, 478223995, 478223997, 478223998, 11296186526, 11296186523, 535906260, 3475689441, 11144417794, 338340313, 11144417798, 11144417801, 3475689435, 3475689433, 251457233, 2400037711, 127417822, 127417824, 127443045, 11074004067, 11144474507, 616471053, 11144474510, 7630892566, 616471048, 11144474519, 245672275, 52934213, 8666692620, 8666692621, 338737245, 338737242, 338737240, 452382266, 338737235, 338487928, 289239487, 52939825, 245672292, 338461771, 338461807, 338484686, 338837019, 11154350655, 250884959, 250884973, 250884991, 52939726, 10922338695, 7460359065, 7460359066, 7460359067, 250884945, 250884924, 250884919, 250884936, 747643182, 12233701319, 26951660, 258077633, 258077259, 11218745702, 11218745699, 347412583, 347412519, 347412585, 347412973, 347413144, 347413063, 11149125967, 338772662, 577241926, 577242785, 577242729, 577239676, 338774042, 338774043, 338774365, 629458353, 338770807, 577242801, 629458470, 347546219, 629458654, 577242800, 294366501, 294366499, 629870407, 629870369, 11223127417, 11223127402, 11223127380, 11223127381, 11223127378, 11223127379, 347413645, 347413427, 347413430, 347413416, 347413414, 347413409, 431380662, 343356727, 431380663, 343358270, 343358613, 343357591, 344523868, 343359057, 11114567157, 344524434, 344524621, 320027999, 431380754, 344524693, 344524959, 431380535, 249404585, 249404586, 344526713, 249404721, 249405268, 344527167, 344527045, 344527041, 630968497, 249405249, 249405257, 249405264, 221876807, 344891062, 344891107, 338896091, 206199583, 10822573617, 344593761, 344593764, 326137912, 338895602, 11144539103]",False
4,3478231533,9448719748,node_3478231533,node_9448719748,8781.044732695376,0.0,0.0334322452545166,8841.16462206004,21.984939219265918,0.0034918785095214844,"[3478231533, 431379487, 431379468, 3478231535, 343340522, 570352775, 570352773, 343312809, 629459887, 11225539964, 11225539965, 332514081, 561196355, 561195993, 561195992, 561195990, 11145118113, 251241873, 11172155770, 251241875, 251241877, 251241886, 628472688, 628472610, 628472608, 628472453, 616471259, 616471208, 616471205, 11136507589, 338819661, 8372629873, 11136507586, 616471228, 251638245, 570563401, 428960247, 6956242242, 428960244, 571700262, 338510187, 433973337, 616471221, 28979435, 338834316, 255687240, 534942613, 250765173, 250765171, 11218731650, 11146784166, 52711990, 11102738104, 1908456303, 3472470594, 426518884, 247688349, 3453187598, 247688357, 11206245927, 7070952415, 11206245922, 11206245912, 11206245917, 30350216, 3458499283, 3458499282, 3458499284, 3458502750, 9448719749, 9448719748]","[3478231533, 431379487, 629871109, 629871049, 629871047, 570292595, 430316815, 561196339, 561195988, 251241851, 251241861, 251241813, 251241941, 251241811, 251241831, 251241820, 251241818, 251241841, 338510074, 570541873, 1805495594, 1805495622, 570541833, 11248727250, 11248727251, 11248727252, 3392507282, 291467034, 255687797, 5022107631, 5022107633, 570541923, 570563583, 430349498, 11256190148, 11256190167, 11256190150, 11256190151, 11136507552, 616471255, 250765176, 338819949, 250765184, 571700451, 250765183, 250765175, 250765174, 534942616, 534942462, 534942458, 250765171, 11218731650, 11146784166, 52711990, 11210832576, 1908456303, 3472470594, 3438765207, 766773287, 8192844368, 8192844369, 8192844366, 8192844367, 766773285, 247688383, 11144417762, 728153870, 3461418093, 3461418097, 11687294883, 11289378935, 2613611714, 249634277, 728153873, 497447191, 249634278, 3461417892, 11159330525, 3458499280, 3458499284, 3458502750, 9448719749, 9448719748]",False
5,3478231533,616471233,node_3478231533,node_616471233,4544.248006972214,0.0,0.008439064025878906,4548.732126957031,0.0,0.0016949176788330078,"[3478231533, 431379487, 431379468, 3478231535, 343340522, 570352775, 570352773, 343312809, 629459887, 11225539964, 11225539965, 332514081, 561196355, 561195993, 561195992, 561195990, 11145118113, 251241873, 11172155770, 251241875, 251241877, 251241886, 628472688, 628472610, 628472608, 628472453, 616471259, 616471208, 616471205, 11136507589, 338819661, 8372629873, 11136507586, 616471228, 251638245, 570563401, 570563441, 616471233]","[3478231533, 431379487, 431379468, 3478231535, 343340522, 570352775, 570352773, 343312809, 629459887, 11225539964, 11225539965, 332514081, 561196355, 561195993, 561195992, 561195990, 11145118113, 251241873, 11172155770, 251241875, 251241877, 251241886, 628472688, 628472610, 628472608, 628472453, 616471259, 616471208, 616471205, 11136507589, 338819661, 8372629873, 11136507586, 616471228, 251638245, 570563401, 616471230, 616471233]",False
6,616030050,338837927,node_616030050,node_338837927,14840.36098850867,8.206565134219666,0.03196406364440918,15025.494982458804,45.8426509114879,0.006330013275146484,"[616030050, 616030044, 30530788, 30530798, 30530790, 30530792, 30530796, 30530817, 8577381259, 8577381258, 8577381257, 728152745, 728152744, 11251311208, 3474558308, 3474558305, 3474558303, 3474558300, 3474558298, 3474558297, 3474558166, 3474558165, 3474558164, 3474558135, 3438466928, 3474558100, 3474558099, 3438466925, 52925063, 3474557965, 347405531, 577417895, 577417894, 338491960, 616471037, 3438413948, 7808658749, 7808658748, 338341898, 255183284, 338341900, 338340298, 338340300, 338340301, 338339639, 338339305, 338339307, 244152894, 338335816, 251457230, 251457233, 2400037711, 127417822, 127417824, 127443045, 11074004067, 11074004065, 338836395, 338836409, 338836413, 338836410, 338486086, 338486082, 623765190, 338487849, 338486011, 338487928, 289239487, 52939825, 244346982, 338486805, 245672308, 338836569, 338837283, 338837207, 338837205, 338837241, 338837330, 347302254, 339140883, 347293017, 338837328, 347289075, 347289173, 338837326, 52938471, 347289525, 52938461, 11084747850, 347292055, 11139724436, 52936775, 347292850, 11139724432, 251649172, 3452287151, 347292334, 347292545, 338837951, 338898355, 347292302, 626060014, 338838505, 347302398, 338837930, 338837936, 338837927]","[616030050, 616030044, 30530788, 30530798, 30530790, 30530792, 30530796, 30530817, 30530794, 29936722, 531007399, 11251311214, 3474558303, 3474558300, 3474558298, 3474558297, 3474558166, 3474558165, 3474558164, 3474558135, 3438466928, 3474558100, 3474557968, 3474557967, 52925063, 3474557965, 347405531, 577417895, 577417894, 338491960, 616471036, 338491961, 338343418, 7808658748, 338341898, 255183284, 338341900, 338340298, 53411573, 338339303, 53410550, 338339305, 338339307, 244152894, 338335816, 251457230, 251457227, 338338462, 244085819, 338699789, 339135295, 339135250, 339135372, 338698461, 338698463, 623765112, 338697617, 3474557885, 338692874, 338692879, 320731905, 6345563948, 6345563947, 347409118, 6345563952, 347408683, 339132355, 339132356, 339132357, 339132885, 339132849, 338349983, 339132800, 4659491799, 339131460, 339131459, 339131711, 251650087, 8192914238, 8192914240, 8192914239, 339132472, 8192891698, 8192891696, 349396757, 349397630, 349911297, 12176958486, 8699775453, 251650612, 349911528, 338440429, 349365954, 349365885, 349364682, 349364283, 623764769, 349361576, 349361459, 349359313, 349357457, 347292842, 347295593, 347302594, 347302595, 347292844, 8686322281, 8192884909, 8192884910, 8192884912, 8192884953, 8192884954, 8192884955, 8192884956, 338837732, 347292684, 347292685, 347289352, 626059837, 338837932, 626059784, 626059782, 338837936, 338837927]",False
7,616030050,7465110984,node_616030050,node_7465110984,14424.414178696936,4.5587076804971645,0.03552865982055664,15733.916990268039,64.66158890988305,0.005187511444091797,"[616030050, 616030044, 30530788, 30530798, 30530790, 30530792, 30530796, 30530817, 8577381259, 8577381258, 8577381257, 728152745, 728152744, 11251311208, 3474558308, 3474558305, 3474558303, 3474558300, 3474558298, 3474558297, 3474558166, 3474558165, 3474558164, 3474558135, 3438466928, 3474558100, 3474558099, 3438466925, 52925063, 3474557965, 347405531, 577417895, 577417894, 338491960, 616471037, 3438413948, 7808658749, 7808658748, 338341898, 255183284, 338341900, 338340298, 338340300, 338340301, 338339639, 338339305, 338339307, 244152894, 338335816, 251457230, 251457233, 2400037711, 127417822, 127417824, 127443045, 11074004067, 11074004065, 338836395, 338836409, 338836413, 338836410, 338486086, 338486082, 623765190, 338487849, 338486011, 338487928, 289239487, 52939825, 244346982, 338486805, 245672308, 338836569, 338837283, 338837207, 338837205, 338837203, 338837202, 250884967, 347411184, 250884986, 11139976739, 626315799, 338458931, 250885007, 11084747828, 4864261357, 4694843477, 52930283, 52939676, 52939705, 628022729, 258077633, 258077259, 11218745702, 11218745699, 347412583, 347412519, 347412585, 347412973, 347413144, 347413063, 11149125967, 338772662, 577241926, 577242785, 251654151, 577242786, 577242730, 338773680, 2983914532, 338771848, 577241903, 2983914527, 338770083, 7465164785, 7465164787, 7465110984]","[616030050, 616030044, 30530788, 30530798, 30530790, 30530792, 30530796, 30530817, 30530794, 29936722, 531007399, 30530824, 52922499, 52922519, 30327176, 30341834, 347403927, 11629568918, 11629568919, 290748903, 11186293208, 250765207, 535032990, 347296077, 11186293222, 535032997, 11186293226, 347296399, 3474558184, 3474558182, 3474558181, 3474558152, 254351034, 3474558119, 3442531609, 337952280, 337951721, 4957733817, 566436685, 3442531606, 478223966, 478223993, 478223995, 478223997, 478223998, 11296186526, 11296186523, 535906260, 11144417790, 251457239, 11144417794, 338340313, 11144417798, 11144417801, 616471069, 3478231643, 3475689433, 251457233, 2400037711, 127417822, 127417824, 127443045, 11074004067, 11144474507, 616471053, 11144474510, 7630892566, 616471048, 11144474519, 245672275, 52934213, 8666692620, 8666692621, 338737245, 338737242, 338737240, 452382266, 338737235, 338487928, 289239487, 52939825, 245672292, 338486805, 245672308, 338460702, 11154350655, 250884959, 250884973, 250884991, 52939726, 10922338695, 7460359065, 7460359066, 7460359067, 250884945, 250884924, 250884919, 250884936, 747643182, 12233701319, 26951660, 258077633, 258077259, 11218745702, 11218745699, 347412583, 347412519, 347412585, 347412973, 347413144, 347413063, 11149125967, 338772662, 577241926, 577242785, 251654151, 577242786, 577242730, 338773680, 2983914532, 338771848, 577241903, 2983914527, 338770083, 7465164785, 7465164787, 7465110984]",False
8,333783427,250765180,node_333783427,node_250765180,7410.823606950744,10.292440965057565,0.02586197853088379,8055.97319401412,14.185834706180442,0.003167867660522461,"[333783427, 431379677, 244085751, 3262304441, 3262304449, 11210891947, 11210891948, 11210891945, 11210891967, 11210891968, 431380034, 251627680, 9834131871, 431379883, 11205977628, 431379881, 431381828, 255688601, 598412804, 570255158, 570255087, 356202561, 654647946, 654647925, 431381800, 343346642, 347296158, 431379659, 570292655, 570292645, 11225903624, 11225903625, 430316751, 570353020, 570352953, 570352929, 570352700, 11054104829, 570352693, 654599441, 598412784, 10966119506, 11139999769, 10966095302, 10966144231, 11168538750, 11168538752, 11168538756, 11367382311, 51066486, 11154565314, 570563644, 251637676, 427265134, 426518879, 427259378, 427259439, 427259457, 25251502, 25251508, 11146767954, 28979469, 250765180]","[333783427, 333782498, 333782499, 333782500, 333782501, 3074421143, 333783608, 7535463719, 2131575846, 426296915, 430038807, 430038810, 333783788, 333771466, 333771220, 291466526, 291466720, 11123995151, 570353229, 289525028, 1150189486, 38876644, 38876017, 38876056, 598412833, 598412831, 598412828, 598412825, 598412824, 4701443709, 4386621783, 7383338040, 4702983602, 11100112467, 11100112459, 10964232406, 26577962, 616471346, 251657299, 29891834, 29891833, 29891832, 45136158, 50758870, 51066429, 26240680, 27699344, 26240682, 3950951582, 11189060690, 11189060694, 570563662, 570563644, 251637676, 427265134, 426518879, 427259378, 427259439, 427259457, 25251502, 25251508, 11146767954, 28979469, 250765180]",False
9,3478231533,339132802,node_3478231533,node_339132802,10687.179796470256,5.621484805481463,0.04636812210083008,10527.351239756941,19.5413371223081,0.0033719539642333984,"[3478231533, 431379487, 431379468, 3478231535, 343340522, 570352775, 570352773, 343312809, 629459887, 11225539964, 11225539965, 332514081, 561196355, 561195993, 561195992, 561195990, 11145118113, 251241873, 11172155770, 251241875, 251241877, 251241886, 628472688, 628472610, 628472608, 628472453, 616471259, 616471208, 616471205, 11136507589, 338819661, 8372629873, 11136507586, 616471228, 251638245, 570563401, 428960247, 6956242242, 428960244, 571700262, 338510187, 433973337, 616471221, 28979435, 7189077013, 3317183454, 7189077011, 3478231657, 3478231653, 3478231648, 11102806913, 247688472, 11102806915, 11102806917, 3478231524, 247688460, 247688458, 247688548, 247688549, 5474439529, 338740532, 250884897, 289239487, 52939825, 244346982, 11406439069, 11406439070, 11406439071, 623765054, 623765055, 339135699, 251651390, 251457179, 251650600, 5150800307, 338493075, 623764892, 338492576, 339132392, 11248728350, 339132851, 339132808, 339132802]","[3478231533, 431379487, 431379468, 3478231535, 343340522, 570352775, 570352773, 343312809, 629459887, 11225539964, 11225539965, 11225539966, 561194097, 343340767, 629459757, 561196409, 11225540078, 11225540079, 561195996, 11145118132, 561196460, 629459554, 11145118139, 11175218030, 244085898, 430980608, 430980627, 430980623, 430980624, 430980605, 430980606, 430980609, 245671659, 245671739, 11175233944, 8037970157, 8037970160, 52931832, 628472041, 628472032, 347412966, 347413060, 338766626, 628023115, 338766288, 747643179, 26951660, 258077633, 628022729, 52939705, 52939676, 347293056, 12176875891, 12176875892, 12176875893, 11084747834, 5370101929, 5370101930, 5370101819, 347293050, 347293013, 626315639, 626060346, 452378559, 11149200015, 347289073, 347289074, 347289075, 347289076, 339140717, 8192884820, 8192884817, 8192884819, 347289078, 347288833, 347289081, 338737931, 347288935, 52938401, 251650606, 347410566, 347410547, 1702105307, 347410486, 339132803, 339132575, 339132802]",False
